contrast,metric,difference,cluster_bootstrap_ci95_low,cluster_bootstrap_ci95_high,bootstrap_samples
mild_overlap_4x416 - non_overlap_4x400,roi_dice,-0.001221839262238733,-0.003971900346053481,0.0013970857578174108,10000
mild_overlap_4x416 - non_overlap_4x400,pixel_recall,-0.0022698033438605103,-0.007039629025527413,0.0023383765415739373,10000
mild_overlap_4x416 - non_overlap_4x400,any_overlap_recall,0.0031201248049922414,-0.014540168138400507,0.020312500000000067,10000
mild_overlap_4x416 - non_overlap_4x400,iou10_recall,0.004680187207488307,-0.012251618297804434,0.021638330757341562,10000
mild_overlap_4x416 - non_overlap_4x400,image_complete_miss_rate,-0.002136752136752136,-0.019230769230769232,0.01495726495726496,10000
heavy_overlap_5x400 - non_overlap_4x400,roi_dice,0.005244647692603799,-0.00047711532995423615,0.0110457538526318,10000
heavy_overlap_5x400 - non_overlap_4x400,pixel_recall,0.00647242743611165,-0.004021311593823934,0.017387304750174394,10000
heavy_overlap_5x400 - non_overlap_4x400,any_overlap_recall,0.023400936037441533,0.004601226993865004,0.04225352112676051,10000
heavy_overlap_5x400 - non_overlap_4x400,iou10_recall,0.032761310452418146,0.014083956866197164,0.05239018815788505,10000
heavy_overlap_5x400 - non_overlap_4x400,image_complete_miss_rate,-0.021367521367521368,-0.04059829059829061,-0.002136752136752136,10000
